block_id,block_label,block_category_str,block_eligible,in_final_sample
17505,[Block ID:]  17505 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2055,[Block ID:]  2055 [Category:]  Insecure [Notes:] In this area both the formal/ informal MSEs are not available.,Insecure,0,0
26587,[Block ID:]  26587 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
19499,[Block ID:]  19499 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
22121,[Block ID:]  22121 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
4874,[Block ID:]  4874 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
22789,[Block ID:]  22789 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
29968,[Block ID:]  29968 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
29296,[Block ID:]  29296 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
24500,[Block ID:]  24500 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
22264,[Block ID:]  22264 [Category:]  Empty/not-urban [Notes:] In this area both the formal/ informal MSEs are not available. Open space/plots area is most of the area.,Empty/not-urban,0,0
6053,[Block ID:]  6053 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
12793,[Block ID:]  12793 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
18713,[Block ID:]  18713 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
26070,[Block ID:]  26070 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
16029,[Block ID:]  16029 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
23657,[Block ID:]  23657 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7223,[Block ID:]  7223 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.,Off-limits,0,0
3407,[Block ID:]  3407 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available. Newly constructed colonies as no MSEs are there.,Off-limits,0,0
27360,[Block ID:]  27360 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
14653,[Block ID:]  14653 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4075,[Block ID:]  4075 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available as its an Airport area.,Off-limits,0,0
19100,[Block ID:]  19100 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
26603,[Block ID:]  26603 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
8938,[Block ID:]  8938 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
21182,[Block ID:]  21182 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5088,[Block ID:]  5088 [Category:]  Empty/not-urban [Notes:] In this area both the formal/ informal MSEs are not available. There is assian games village.,Empty/not-urban,0,0
27812,[Block ID:]  27812 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
6501,[Block ID:]  6501 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
11122,[Block ID:]  11122 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3748,[Block ID:]  3748 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
7140,[Block ID:]  7140 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7808,[Block ID:]  7808 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,Off-limits,0,0
10763,[Block ID:]  10763 [Category:]  Insecure [Notes:] In this area both the formal/ informal MSEs are not available. Sports stadium is covering major area.,Insecure,0,0
17048,[Block ID:]  17048 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
4914,[Block ID:]  4914 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
10544,[Block ID:]  10544 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.,Off-limits,0,0
20152,[Block ID:]  20152 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
21549,[Block ID:]  21549 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
27277,[Block ID:]  27277 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
19934,[Block ID:]  19934 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
15914,[Block ID:]  15914 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1554,[Block ID:]  1554 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.,Off-limits,0,0
16892,[Block ID:]  16892 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
12060,[Block ID:]  12060 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
21375,[Block ID:]  21375 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
29455,[Block ID:]  29455 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.,Off-limits,0,0
16320,[Block ID:]  16320 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
20196,[Block ID:]  20196 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
23733,[Block ID:]  23733 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
29478,"[Block ID:]  29478 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available majorly playgrounds , parks and forest area is covering this block.",Off-limits,0,0
7643,[Block ID:]  7643 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,Off-limits,0,0
2730,[Block ID:]  2730 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
16307,[Block ID:]  16307 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
17920,[Block ID:]  17920 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
14270,[Block ID:]  14270 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
8433,[Block ID:]  8433 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
26301,[Block ID:]  26301 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
13688,"[Block ID:]  13688 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available. There is mosque, Delhi Police headquarter, PWD headquarter.",Off-limits,0,0
17906,[Block ID:]  17906 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
13334,[Block ID:]  13334 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
12182,[Block ID:]  12182 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5560,[Block ID:]  5560 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.,Off-limits,0,0
3554,[Block ID:]  3554 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
15115,[Block ID:]  15115 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
22654,[Block ID:]  22654 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
11174,[Block ID:]  11174 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3254,[Block ID:]  3254 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
16576,[Block ID:]  16576 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
20825,[Block ID:]  20825 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
22002,[Block ID:]  22002 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
18167,[Block ID:]  18167 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
22242,[Block ID:]  22242 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
20459,[Block ID:]  20459 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3036,[Block ID:]  3036 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5283,[Block ID:]  5283 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3032,[Block ID:]  3032 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
28209,"[Block ID:]  28209 [Category:]  Off-limits [Notes:] There is no any formal MSEs, newly constructed area.",Off-limits,0,0
25768,[Block ID:]  25768 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
19317,[Block ID:]  19317 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5697,[Block ID:]  5697 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
15788,[Block ID:]  15788 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
14472,[Block ID:]  14472 [Category:]  Off-limits [Notes:] In this area formal MSEs aren't available.,Off-limits,0,0
5895,[Block ID:]  5895 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5151,[Block ID:]  5151 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.,Off-limits,0,0
26333,[Block ID:]  26333 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
27052,[Block ID:]  27052 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
12737,[Block ID:]  12737 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
21340,[Block ID:]  21340 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
13508,[Block ID:]  13508 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
22148,[Block ID:]  22148 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
10232,[Block ID:]  10232 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,Off-limits,0,0
26884,[Block ID:]  26884 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
30167,[Block ID:]  30167 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
16799,[Block ID:]  16799 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5444,[Block ID:]  5444 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available as its an Airport area.,Off-limits,0,0
1370,[Block ID:]  1370 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3929,[Block ID:]  3929 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
25358,[Block ID:]  25358 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
23279,[Block ID:]  23279 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
17666,[Block ID:]  17666 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
9675,[Block ID:]  9675 [Category:]  Off-limits [Notes:] This is a high End Area where Bungalow/ villas are present of government officials.,Off-limits,0,0
1602,[Block ID:]  1602 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available its a Forest area.,Off-limits,0,0
