block_id,block_label,block_category_str,block_eligible,in_final_sample
11701,[Block ID:]  11701 [Category:]  Empty/not-urban [Notes:] It’s a residential area. No business outlets.,Empty/not-urban,0,0
6098,[Block ID:]  6098 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
9790,[Block ID:]  9790 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area. No business outlets.,Strata 2: Low probability,1,1
803,[Block ID:]  803 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
5881,[Block ID:]  5881 [Category:]  Empty/not-urban [Notes:] There is no houses in the area.,Empty/not-urban,0,0
2377,[Block ID:]  2377 [Category:]  Strata 2: Low probability [Notes:] Out of Addis Ababa.,Strata 2: Low probability,1,1
6927,[Block ID:]  6927 [Category:]  Strata 2: Low probability [Notes:] It’s a green area.,Strata 2: Low probability,1,1
9732,[Block ID:]  9732 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
4194,[Block ID:]  4194 [Category:]  Empty/not-urban [Notes:] Vacant area.,Empty/not-urban,0,0
8554,[Block ID:]  8554 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4712,[Block ID:]  4712 [Category:]  Empty/not-urban [Notes:] Vacant area.,Empty/not-urban,0,0
6537,[Block ID:]  6537 [Category:]  Strata 2: Low probability [Notes:] It is a factory area.,Strata 2: Low probability,1,1
9526,[Block ID:]  9526 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
15680,[Block ID:]  15680 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5618,[Block ID:]  5618 [Category:]  Strata 1: High probability [Notes:] residential and embassy area.,Strata 1: High probability,1,1
14632,[Block ID:]  14632 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
13714,[Block ID:]  13714 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
6235,[Block ID:]  6235 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
2113,[Block ID:]  2113 [Category:]  Strata 1: High probability [Notes:] It’s a green area.,Strata 1: High probability,1,1
7278,[Block ID:]  7278 [Category:]  Strata 2: Low probability [Notes:] It’s a green area.,Strata 2: Low probability,1,1
10392,[Block ID:]  10392 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3143,[Block ID:]  3143 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7043,[Block ID:]  7043 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
12574,[Block ID:]  12574 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
13197,[Block ID:]  13197 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7136,[Block ID:]  7136 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1172,[Block ID:]  1172 [Category:]  Strata 2: Low probability [Notes:] It is a factory area.,Strata 2: Low probability,1,1
7411,[Block ID:]  7411 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area. No business outlets.,Strata 2: Low probability,1,1
3960,[Block ID:]  3960 [Category:]  Strata 1: High probability [Notes:] It is a factory area.,Strata 1: High probability,1,1
619,[Block ID:]  619 [Category:]  Strata 2: Low probability [Notes:] It is a factory area.,Strata 2: Low probability,1,1
15686,[Block ID:]  15686 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
5057,[Block ID:]  5057 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
6454,[Block ID:]  6454 [Category:]  Off-limits [Notes:] Vacant area.,Off-limits,0,0
8791,[Block ID:]  8791 [Category:]  Empty/not-urban [Notes:] It’s a green area.,Empty/not-urban,0,0
11623,[Block ID:]  11623 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7757,[Block ID:]  7757 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
507,[Block ID:]  507 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3256,[Block ID:]  3256 [Category:]  Empty/not-urban [Notes:] Vacant area.,Empty/not-urban,0,0
4441,[Block ID:]  4441 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
11969,[Block ID:]  11969 [Category:]  Strata 2: Low probability [Notes:] It’s a green area.,Strata 2: Low probability,1,1
5711,[Block ID:]  5711 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
12438,[Block ID:]  12438 [Category:]  Strata 1: High probability [Notes:] Vacant area.,Strata 1: High probability,1,1
3540,[Block ID:]  3540 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
14939,[Block ID:]  14939 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
8185,[Block ID:]  8185 [Category:]  Strata 2: Low probability [Notes:] Vacant area.,Strata 2: Low probability,1,1
6189,[Block ID:]  6189 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
11152,[Block ID:]  11152 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
10191,[Block ID:]  10191 [Category:]  Strata 2: Low probability [Notes:] It’s a green area.,Strata 2: Low probability,1,1
4593,[Block ID:]  4593 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
764,[Block ID:]  764 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
8018,[Block ID:]  8018 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1846,[Block ID:]  1846 [Category:]  Strata 2: Low probability [Notes:] Vacant area.,Strata 2: Low probability,1,1
4809,[Block ID:]  4809 [Category:]  Off-limits [Notes:] Vacant area.,Off-limits,0,0
15588,[Block ID:]  15588 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
2359,[Block ID:]  2359 [Category:]  Empty/not-urban [Notes:] Vacant area.,Empty/not-urban,0,0
8143,[Block ID:]  8143 [Category:]  Strata 1: High probability [Notes:] It’s a green area.,Strata 1: High probability,1,1
14435,[Block ID:]  14435 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
914,[Block ID:]  914 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
12703,[Block ID:]  12703 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3585,[Block ID:]  3585 [Category:]  Strata 1: High probability [Notes:] It’s a residential area. No business outlets.,Strata 1: High probability,1,1
1008,[Block ID:]  1008 [Category:]  Off-limits [Notes:] It’s a green area.,Off-limits,0,0
8708,[Block ID:]  8708 [Category:]  Off-limits [Notes:] It’s a green area.,Off-limits,0,0
11205,[Block ID:]  11205 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
477,[Block ID:]  477 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
5771,[Block ID:]  5771 [Category:]  Off-limits [Notes:] Industrial Zone,Off-limits,0,0
352,[Block ID:]  352 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4364,[Block ID:]  4364 [Category:]  Off-limits [Notes:] It’s a green area.,Off-limits,0,0
1260,[Block ID:]  1260 [Category:]  Off-limits [Notes:] Vacant area.,Off-limits,0,0
11272,[Block ID:]  11272 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4159,[Block ID:]  4159 [Category:]  Off-limits [Notes:] Vacant area.,Off-limits,0,0
14550,[Block ID:]  14550 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
11905,[Block ID:]  11905 [Category:]  Strata 2: Low probability [Notes:] It’s a green area.,Strata 2: Low probability,1,1
13216,[Block ID:]  13216 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
10239,[Block ID:]  10239 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5951,[Block ID:]  5951 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
1646,[Block ID:]  1646 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3145,[Block ID:]  3145 [Category:]  Strata 1: High probability [Notes:] It’s a residential area. No business outlets.,Strata 1: High probability,1,1
13850,[Block ID:]  13850 [Category:]  Off-limits [Notes:] It’s a green area.,Off-limits,0,0
737,[Block ID:]  737 [Category:]  Strata 2: Low probability [Notes:] Vacant area.,Strata 2: Low probability,1,1
9996,[Block ID:]  9996 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1180,[Block ID:]  1180 [Category:]  Strata 1: High probability [Notes:] It’s a green area.,Strata 1: High probability,1,1
1337,[Block ID:]  1337 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
4659,[Block ID:]  4659 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
13464,[Block ID:]  13464 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
2367,[Block ID:]  2367 [Category:]  Strata 2: Low probability [Notes:] It is a factory area.,Strata 2: Low probability,1,1
13698,[Block ID:]  13698 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
851,[Block ID:]  851 [Category:]  Strata 2: Low probability [Notes:] Vacant area.,Strata 2: Low probability,1,1
4143,[Block ID:]  4143 [Category:]  Strata 2: Low probability [Notes:] It’s a round about.,Strata 2: Low probability,1,1
5756,[Block ID:]  5756 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
5238,[Block ID:]  5238 [Category:]  Empty/not-urban [Notes:] NA,Empty/not-urban,0,0
12205,[Block ID:]  12205 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
